GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHEXPCS_PP|SCHEXPCS_PP_F|SCHEXPCSFSW_PP|SCHEXPCSFSW_PP_F|SCHEXPCSFEB_PP|SCHEXPCSFEB_PP_F|SCHEXPCSIT_PP|SCHEXPCSIT_PP_F|SCHEXPCSISW_PP|SCHEXPCSISW_PP_F|SCHEXPCSIEB_PP|SCHEXPCSIEB_PP_F|SCHEXPCSST_PP|SCHEXPCSST_PP_F|SCHEXPCSSPS_PP|SCHEXPCSSPS_PP_F|SCHEXPCSSIS_PP|SCHEXPCSSIS_PP_F|SCHEXPCSSGA_PP|SCHEXPCSSGA_PP_F|SCHEXPCSSSA_PP|SCHEXPCSSSA_PP_F
37|29|9700000US2926970|Cole County R-I School District, Missouri||2013|606||8792||5332||1559||5213||3607||1033||3150||271||173||924||538|
37|29|9700000US2927060|St. Joseph School District, Missouri||2013|11779||9062||5850||1743||5456||3853||1138||3074||465||586||98||455|
37|29|9700000US2927090|Salem R-80 School District, Missouri||2013|1107||9808||6006||1789||6155||4112||1185||3073||451||247||362||577|
37|29|9700000US2927520|Salisbury R-IV School District, Missouri||2013|431||10979||6422||2086||6977||4427||1299||3355||281||227||701||589|
37|29|9700000US2927540|Sarcoxie R-II School District, Missouri||2013|791||8249||4994||1531||4927||3191||976||2814||301||477||351||372|
37|29|9700000US2927570|Savannah R-III School District, Missouri||2013|2264||8349||4847||1512||5211||3374||1041||2702||258||170||405||618|
37|29|9700000US2927600|Northeast Vernon County R-I School District, Missouri||2013|236||9661||5970||1352||5483||3898||886||3682||322||352||517||703|
37|29|9700000US2927630|School of The Osage School District, Missouri||2013|1904||9591||6279||1815||5606||4011||1072||3570||424||274||724||564|
37|29|9700000US2927660|Schuyler County R-I School District, Missouri||2013|644||8175||5022||1429||5152||3453||1002||2511||213||87||505||470|
37|29|9700000US2927830|Sedalia 200 School District, Missouri||2013|4793||7467||4518||1456||4653||3276||1002||2399||390||290||261||332|
37|29|9700000US2927870|Senath-Hornersville C-8 School District, Missouri||2013|896||7202||4408||1267||4051||2733||757||2700||298||350||279||419|
37|29|9700000US2927900|Seneca R-VII School District, Missouri||2013|1499||8252||4998||1034||5000||3542||748||2822||420||179||184||322|
37|29|9700000US2927930|Seymour R-II School District, Missouri||2013|835||8780||5692||1408||5867||4083||990||2368||293||141||356||480|
