STNAM,FIPST,leaid11,leanm11,ALL_COHORT_1112,ALL_RATE_1112,MAM_COHORT_1112,MAM_RATE_1112,MAS_COHORT_1112,MAS_RATE_1112,MBL_COHORT_1112,MBL_RATE_1112,MHI_COHORT_1112,MHI_RATE_1112,MTR_COHORT_1112,MTR_RATE_1112,MWH_COHORT_1112,MWH_RATE_1112,CWD_COHORT_1112,CWD_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,LEP_COHORT_1112,LEP_RATE_1112
MASSACHUSETTS,25,2505910,Harwich,81,85-89,,,,,,,,,,,72,85-89,12,GE50,20,GE80,,
MASSACHUSETTS,25,2505940,Hatfield,36,80-89,,,,,,,,,,,33,GE90,8,GE50,7,GE50,,
MASSACHUSETTS,25,2505970,Haverhill,477,70,,,14,GE50,20,60-79,113,45-49,,,328,78,114,40-44,248,50-54,49,40-49
MASSACHUSETTS,25,2506090,Hingham,285,94,,,7,GE50,,,6,GE50,9,GE50,258,GE95,53,80-89,24,60-79,,
MASSACHUSETTS,25,2506150,Holbrook,52,70-79,,,,,7,GE50,6,GE50,,,37,60-69,15,LT50,21,60-79,,
MASSACHUSETTS,25,2506240,Holliston,229,98,,,,,,,,,,,218,GE95,35,GE90,11,GE50,,
MASSACHUSETTS,25,2506270,Holyoke,525,53,,,,,20,60-79,385,43,,,117,80-84,142,25-29,440,48,121,20-24
MASSACHUSETTS,25,2506300,Hopedale,80,GE95,,,,,,,,,,,73,GE95,24,GE80,9,GE50,,
MASSACHUSETTS,25,2506330,Hopkinton,276,98,,,10,GE50,6,GE50,,,,,255,GE95,47,80-89,,,,
MASSACHUSETTS,25,2506390,Hudson,233,82,,,,,,,9,GE50,,,215,80-84,48,60-69,60,60-69,6,GE50
MASSACHUSETTS,25,2506420,Hull,86,85-89,,,,,,,,,,,84,85-89,18,60-79,39,80-89,,
MASSACHUSETTS,25,2506480,Ipswich,171,GE95,,,6,GE50,,,,,,,161,GE95,28,GE80,25,GE80,,
MASSACHUSETTS,25,2506510,King Philip,328,92,,,,,6,GE50,,,,,311,92,60,70-79,35,70-79,,
MASSACHUSETTS,25,2506660,Lawrence,874,61,,,16,60-79,17,40-59,789,61,,,52,40-49,177,35-39,833,61,213,50-54
MASSACHUSETTS,25,2506690,Lee,86,85-89,,,,,,,6,GE50,,,76,85-89,14,GE50,42,70-79,,
MASSACHUSETTS,25,2506720,Leicester,145,85-89,,,,,6,GE50,,,,,128,85-89,21,60-79,42,80-89,,
MASSACHUSETTS,25,2506750,Lenox,69,90-94,,,,,,,,,,,63,90-94,8,GE50,14,GE50,,
MASSACHUSETTS,25,2506780,Leominster,444,89,,,15,GE50,32,GE90,91,70-74,6,GE50,297,GE95,80,75-79,209,75-79,40,60-69
MASSACHUSETTS,25,2506840,Lexington,509,96,,,108,GE95,32,GE90,14,GE50,16,GE80,339,95,85,85-89,43,GE90,14,GE50
MASSACHUSETTS,25,2506930,Lincoln-Sudbury,414,97,,,18,GE80,23,GE80,10,GE50,8,GE50,355,97,75,85-89,33,GE90,,
MASSACHUSETTS,25,2506960,Littleton,122,90-94,,,,,,,,,,,116,90-94,25,GE80,13,GE50,,
MASSACHUSETTS,25,2506990,Longmeadow,263,97,,,14,GE50,13,GE50,6,GE50,,,229,GE95,60,GE90,21,GE80,,
MASSACHUSETTS,25,2507020,Lowell,797,73,,,244,65-69,67,80-84,170,65-69,,,313,78,105,40-44,622,69,260,60-64
MASSACHUSETTS,25,2507050,Ludlow,239,88,,,,,,,9,GE50,,,225,85-89,53,60-69,129,80-84,,
MASSACHUSETTS,25,2507080,Lunenburg,134,90-94,,,,,,,,,,,128,GE95,14,GE50,21,GE80,,
